content_names,content_dates,content_hits,content_coms
10,2017-05-31 16:06:49,0,"ㅡ익명제보ㅡ

서일대서 지금 농구하실 형들 구합니다 :] 연락주에여 :] 슬리퍼 오반데 :] 마 농구공좀 가져와 :] 농구하자 :] 운동화 남는거 있냐 :] ㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂ :] 농구하자 :] 있지 :] 너어딘디 :] 난 학교 :] 지금은 너무 덥고 늦게 ㄱㄱ :] 원준 와라 :] 저거 설마 너냐 :] 용휘 너도 한다하지않았어??"
11,2017-05-31 15:27:49,1,"ㅡ익명제보ㅡ

자퇴하면 이전에 받은 장학금 금액만큼 학교에 반환해야하나요?
다른 학교보니까 그런 경우 있다고 해서 관련해서 아는 분 정보 부탁드립니다 .. :] 당연한거아닌가요 :] 경험담인데 국가 장학금 성적장학금 기타 장학금 다 반환하셔야 합니다. 국가 장학금은 학교 나간 일 수에 따라서 반환하는 금액이 달라져ㅕ요 알려달라고 하면 계산해서 대충 알려줘ㅓ여 :] 키야 주모 :] 여윽시 홍보부장님"
12,2017-05-31 15:21:35,1,"ㅡ익명제보ㅡ

2시쯤 02번버스에서 흰색티에 청바지입으시고 까만 가방메신분 너무 예쁘셔서 남자친구 있으신지 알고싶습니다. 친해지고싶어요. :] 용휘 너아니야?? :] 주종환 너 아니야? :] 아 내가 먼저 할랬는데;; :] 그럭게 게을러선 아무것도 못 해 :] 근데 이거 용휘인 것 같은데 :] 꽃이피고 용휘에게도 봄이왔네염? :] 야 이건 진짜 난데? :] 주종환난듯 :] 쫑환..... :] ㅎㅇㅎㅇ :] 야 적댱히해 :] 너 자주올라오넹ㅎㅎ :] ㅇㅋㅇ :] ㅃㅇ :] 남유진 박세리 김유리  김나영엥 나다;; :] 너아냐 :] 응 아니야~~ :] 엥....? :] 엥....? :] 이거나임 :] 용태훈...ㅎ"
13,2017-05-31 14:40:10,0,"ㅡ맘스터치 제보ㅡ

맘스터친데요 서일대 학생분이 지갑 놓고 가신것 같아요"
14,2017-05-31 14:24:33,0,"ㅡ코인조이 제보ㅡ

또 두고 갔네요...페북 안하는데 이 친구...
과 친구들이 도와조요 :] 김대성 어후... 빨리가라 눈썩는다 :] 김대성 이현재 박찬호 윤광준 배민수ㅋㅋㅋㄲㅋㅋㅋㅋ :] ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ :] 미친김대성ㅋㅋㅋㅋㅋㅋㅋ코노충색깈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ :] 사진에 얼굴이 다 안들어가서 그럼 :] 실물도뭉개지긴함 :] 극딜하는거보소ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ :] 김대성"
15,2017-05-31 13:22:45,0,"ㅡ강채연님 제보ㅡ

호천관 604호에 있었어요! 지갑 안 카드에 허진영 이라고 적혀있던데 연락주세요!! :] 제꺼에요!!어디로 찾아가면될까요!!??? :] 감사합니ㄷㅏ!!!! :] 정신놨네 진영 :] ㅋㅋㅋㅋㅋ찾아서다행쓰 휴"
16,2017-05-31 12:38:17,6,"ㅡ이송이님 제보ㅡ

이제 곧 1시에용 !!!! 용마산 공연 보러오세요 !!!!!
오늘 날씨 짱좋아요!!!!!!!!!!!!!!대박 좋음 !!!!!!!!!!!!!!!!!!!
오늘 용마산 멤버들 얼굴이 더 존웃임 ㅋ"
17,2017-05-31 12:12:31,0,"ㅡ코인조이 제보ㅡ

코인조이 보관중요~ :] 용휘 요고 노꼬 아니얌?"
18,2017-05-31 12:11:43,1,"ㅡ익명제보ㅡ

다들 올리시는거 같아서 저도 한번 올려볼려고요..
오늘 점심시간 11시 20분에 모두랑에서 티비앞에 앉으시고 검은색에 청바지 입으신분 이름을 알고싶습니다..ㅎ :] 용휘 용휘 이거 너 아니야? :] 아니요 뚱인데요. :] 용휘 이거 빼두박두 못하게 용휘넹 ~~ ㅋㅋ ^^"
19,2017-05-31 11:23:07,0,"ㅡ익명제보ㅡ

교양 진로설계상담 원동인 교수님 시험 언제 보나요...?ㅠ :] 용휘 너 진로설계아니야?"
20,2017-05-31 10:48:57,1,"ㅡ익명제보(1)(2)ㅡ

(1) 진로설계상담 박숙희 교수님 이번 레포트 어떤건가요

(2) 교양 진로설계상담 1~2 박숙희 교수님 과제아시는 분 계신가요?"
21,2017-05-31 09:00:59,5,"ㅡ서일대학교 방송국 제보ㅡ

안녕하세요! 여기는 젊음과 지성의 소리 서일방송국입니다!

저번에 말씀드렸던 체육대회 영상이 방금 업로드 되었습니다!
많은 관심과 관심 부탁드립니다 ㅎㅎ :] https://www.facebook.com/sibs42/"
22,2017-05-30 23:42:32,0,"ㅡ익명제보ㅡ

서일대에서 레인보우 식스 시즈 같이하실분들을 구해봐요!
저는 17학번이고 디스코드랑 스카이프를 씁니다~
랭크 캐쥬얼 상관없습니다 댓글남겨주시면 페메드릴게요!"
23,2017-05-30 22:49:41,0,"ㅡ익명제보(1)(2)ㅡ

(1) 교양 일본어 박용만교수님 번호 아시는 분 있나요??

(2) 교양 진로설계상담 박숙희 교수님(수 3-4교시) 과제 뭔지 아시는분 계신가요ㅜㅜ :] 박숙희교수님과제알아요 페메주세요 사진보내드릴게요"
24,2017-05-30 22:48:51,0,"ㅡ익명제보(1)(2)ㅡ

(1) 나호열교수님 수업 3번결석부터 f인가요 4번부터 인가요?

(2) 허영자 교수님 진단서 내면 출석인정해주시나요"
25,2017-05-30 20:31:38,41,"ㅡ용마산 제보ㅡ

안녕하세요! 개그 동아리 용마산입니다!!
내일 오후 1시 지덕관앞 딱지마당에서

개그동아리 용마산 공연이 있습니다!

시간 되시는 분들은 점심 맛있게 드시고
많이 많이 와주시면 감사하겠습니다♥ :] 황예은 :] 유우현 김대성 민경호 송석주 김수지 임진석 주현석 소신영 김희원 정인호 김효정 윤여진 류한희 김현재 차현석 국원준 이정원 성재석 서민기 김수겸 주종환 뀨 페북 안하는 사람빼고 다 태그해써요 !!!!!! 내일 공연 화이팅 ??? :] 아이고 종환앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅌㅌㅌㅌㅌㅋㅋㅋㅋ :] 용~마산이다! :] 에휴 :] 용마산 화이팅!!??? :] 용마산 꾸울잼 ~ ? :] 이수민 낼 가서 도청하고 와 :] 솔까 1시잖아,, :] 매혹적이자나... :] 솔까 친근함에 유혹당할 뻔,, :] 김세민 ~~! :] 예아~!"
26,2017-05-30 20:25:34,2,"ㅡ최원준님 제보ㅡ

진로설계상담 최선미 교수님 번호 아시는분 계신가요 ㅜㅜㅜㅜ"
27,2017-05-30 20:15:33,2,"ㅡ익명제보ㅡ

학교에서 밤샐 수 있나요? 있다면 어디서 할 수 있나요? 밤샘 작업할 장소가 필요합니다ㅠ :] 시험기간에는 도서관 24시간이라들었어용"
28,2017-05-30 18:44:21,0,"ㅡ익명제보ㅡ

이지갑학교주변에서잃어버리것같은데보신분 댓글남겨주세여~~! :] 용휘 너 닼쓰 아뉘야?"
